MARKET NAME-INSTITUTION DESCRIPTION,MIC,OPERATING MIC,OPRT/SGMT,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,COMMENTS
BULGARIAN STOCK EXCHANGE - SME GROWTH MARKET BEAM,GBUL,XBUL,SGMT,BULGARIAN STOCK EXCHANGE,747800W0XA9OV4MSRW74,MLTF,BEAM,BG,SOFIA,BULGARIAN STOCK EXCHANGE SME GROWTH MARKET.
BULGARIAN STOCK EXCHANGE - INTERNATIONAL INSTRUMENTS,IBUL,XBUL,SGMT,BULGARIAN STOCK EXCHANGE,747800W0XA9OV4MSRW74,RMKT,BSE,BG,SOFIA,
BULGARIAN STOCK EXCHANGE - INTERNATIONAL MTF,JBUL,XBUL,SGMT,BULGARIAN STOCK EXCHANGE,747800W0XA9OV4MSRW74,MLTF,BSE-MTF,BG,SOFIA,"INTERNATIONAL INSTRUMENTS OF MULTILATERAL TRADING FACILITY, ORGANIZED BY BULGARIAN STOCK EXCHANGE."
BULGARIAN STOCK EXCHANGE - SBL,LBUL,XBUL,SGMT,BULGARIAN STOCK EXCHANGE,747800W0XA9OV4MSRW74,OTHR,,BG,SOFIA,
BULGARIAN STOCK EXCHANGE - APA,PBUL,XBUL,SGMT,BULGARIAN STOCK EXCHANGE,747800W0XA9OV4MSRW74,APPA,,BG,SOFIA,APPROVED PUBLICATION ARRANGEMENT (APA) SERVICE OF THE BULGARIAN STOCK EXCHANGE (BSE).
BULGARIAN STOCK EXCHANGE - MAIN MARKET,ZBUL,XBUL,SGMT,BULGARIAN STOCK EXCHANGE,747800W0XA9OV4MSRW74,RMKT,,BG,SOFIA,BULGARIAN STOCK EXCHANGE MAIN MARKET.
CAPE VERDE STOCK EXCHANGE,XBVC,XBVC,OPRT,,,NSPD,BVC,CV,PRAIA,
MOZAMBIQUE STOCK  EXCHANGE,XBVM,XBVM,OPRT,,,NSPD,BVM,MZ,MAPUTO,"REGISTERED MARKET FOR EQUITIES, BONDS, COMMERCIAL PAPER AND OTHER FINANCIAL INSTRUMENTS."
BOLSA DE VALORES DO PARANA,XBVP,XBVP,OPRT,,,NSPD,,BR,CURITIBA,
BOLSA DE VALORES DE LA REPUBLICA DOMINICANA SA.,XBVR,XBVR,OPRT,,549300L770PQT649FP60,NSPD,BVRD,DO,SANTO DOMINGO,
NASDAQ OMX BX OPTIONS,NBXO,XBXO,SGMT,,,NSPD,,US,WASHINGTON,DUPLICATE. MIC TO USE IS XBXO.
EGYPTIAN EXCHANGE,XCAI,XCAI,OPRT,,,NSPD,CASE,EG,CAIRO,CAIRO AND ALEXANDRIA STOCK EXCHANGES (CASE) HAVE BEEN RENAMED TO THE EGYPTIAN EXCHANGE.
CALCUTTA STOCK EXCHANGE,XCAL,XCAL,OPRT,,,NSPD,,IN,CALCUTTA,
CASABLANCA STOCK EXCHANGE,XCAS,XCAS,OPRT,,213800OBH8WFVWITXN58,NSPD,,MA,CASABLANCA,
CAYMAN ISLANDS STOCK EXCHANGE,XCAY,XCAY,OPRT,,,NSPD,,KY,GEORGETOWN,
CBOE GLOBAL MARKETS INC.,XCBO,XCBO,OPRT,,529900RLNSGA90UPEH54,NSPD,CBOE,US,CHICAGO,USED FOR CBOE OPTIONS EXCHANGE (C1).
CBOE BZX OPTIONS EXCHANGE,BATO,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,BATO,US,CHICAGO,
CBOE BZX U.S. EQUITIES EXCHANGE,BATS,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,BATS,US,CHICAGO,
CBOE BYX U.S. EQUITIES EXCHANGE,BATY,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,BYXX,US,CHICAGO,CBOE BYX U.S. EQUITIES EXCHANGE.
CBOE BYX U.S. EQUITIES EXCHANGE DARK,BYXD,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,BYXDARK,US,CHICAGO,CBOE BYX U.S. EQUITIES EXCHANGE NON-DISPLAYED.
CBOE BZX U.S. EQUITIES EXCHANGE DARK,BZXD,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,BZXDARK,US,CHICAGO,CBOE BZX U.S. EQUITIES EXCHANGE NON-DISPLAYED.
CBOE C2 OPTIONS EXCHANGE,C2OX,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,C2OX,US,CHICAGO,C2 OPTIONS EXCHANGE.
CBOE STOCK EXCHANGE,CBSX,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,CBSX,US,CHICAGO,FOR EQUITIES
CBOE OPTIONS EXCHANGE,CONE,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,,US,CHICAGO,CBOE OPTIONS EXCHANGE (C1).
CBOE C2 OPTIONS EXCHANGE,CTWO,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,,US,CHICAGO,
CBOE EDGX U.S. EQUITIES EXCHANGE DARK,EDDP,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,EDGXDARK,US,CHICAGO,CBOE EDGX U.S. EQUITIES EXCHANGE NON-DISPLAYED.
CBOE EDGA U.S. EQUITIES EXCHANGE,EDGA,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,EDGA,US,CHICAGO,
CBOE EDGA U.S. EQUITIES EXCHANGE DARK,EDGD,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,EDGADARK,US,CHICAGO,CBOE EDGA U.S. EQUITIES EXCHANGE NON-DISPLAYED.
CBOE EDGX OPTIONS EXCHANGE,EDGO,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,EDGO,US,CHICAGO,CBOE EDGX OPTIONS EXCHANGE.
CBOE EDGX U.S. EQUITIES EXCHANGE,EDGX,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,EDGX,US,CHICAGO,
CBOE DIGITAL EXCHANGE,XCBD,XCBO,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,DCMS,,US,CHICAGO,
CBOE FUTURES EXCHANGE,XCBF,XCBO,SGMT,,529900RLNSGA90UPEH54,NSPD,CFE,US,CHICAGO,FOR FUTURES
CHICAGO BOARD OF TRADE,XCBT,XCBT,OPRT,,549300EX04Q2QBFQTQ27,NSPD,CBOT,US,CHICAGO,
CHICAGO BOARD OF TRADE (FLOOR),FCBT,XCBT,SGMT,,549300EX04Q2QBFQTQ27,NSPD,CBOT (FLOOR),US,CHICAGO,
